School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
02M300,Urban Assembly School of Design and Construction,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-0981,0.333333333,0.635416667,414,0.034,0.295,0.592,0.06,445,417,403,0.606
02M135,Urban Assembly School for Emergency Management,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-245-4670,0.361805556,0.646527778,193,0.026,0.285,0.622,0.057,453,472,439,0.782
02M400,High School for Environmental Studies,Manhattan,M834,444 West 56th Street,Manhattan,NY,10019,40.76776,-73.98751,212-262-8113,0.34375,0.625,1301,0.066,0.147,0.629,0.151,469,454,444,0.74
02M630,Art and Design High School,Manhattan,M488,231-249 East 56th Street,Manhattan,NY,10019,40.7654,-73.98177,212-752-4340,0.354166667,0.666666667,1476,0.108,0.241,0.547,0.085,455,475,458,0.701
02M542,Manhattan Bridges High School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-757-5274,0.333333333,0.65625,529,0,0,1,0,409,360,347,0.844
02M507,Urban Assembly Gateway School for Technology,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-246-1041,0.333333333,0.645833333,472,0.057,0.303,0.538,0.078,445,432,415,0.784
02M288,Food and Finance High School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-2943,0.319444444,0.604166667,427,0.03,0.396,0.522,0.047,428,435,421,0.52
02M416,Eleanor Roosevelt High School,Manhattan,M855,411 East 76th Street,Manhattan,NY,10021,40.77012,-73.95338,212-772-1220,0.354166667,0.645833333,541,0.614,0.044,0.109,0.201,641,617,631,0.86
03M299,"High School for Arts, Imagination, and Inquiry",Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-799-4064,0.364583333,0.643055556,447,0.009,0.385,0.588,0.004,375,389,380,0.588
03M307,Urban Assembly School for Media Studies,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1110,0.375,0.635416667,412,0.017,0.364,0.578,0.019,392,419,396,0.495
03M479,Beacon High School,Manhattan,M837,227-243 West 61st Street,Manhattan,NY,10023,40.77216,-73.9878,212-245-2807,0.333333333,0.625,1285,0.518,0.137,0.238,0.089,583,586,595,0.828
03M485,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,M485,100 Amsterdam Avenue,Manhattan,NY,10023,40.77367,-73.98527,212-496-0700,0.333333333,0.666666667,2635,0.453,0.113,0.194,0.194,592,592,597,0.885
03M494,High School of Arts and Technology,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1198,0.333333333,0.614583333,594,0.029,0.325,0.593,0.039,421,428,406,0.444
03M541,Manhattan / Hunter Science High School,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1235,0.333333333,0.604166667,451,0.131,0.164,0.379,0.259,581,531,535,0.972
03M859,Special Music School,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-3318,0.333333333,0.604166667,231,0.293,0.217,0.152,0.185,523,475,462,0.835
03M492,"High School for Law, Advocacy, and Community Justice",Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1201,0.333333333,0.614583333,510,0.022,0.42,0.527,0.024,415,417,402,0.605
03M402,Urban Assembly School for Green Careers,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-787-1189,0.354166667,0.645833333,353,0.028,0.232,0.72,0.011,393,371,378,0.6
03M417,Frank McCourt High School,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-362-2015,0.361111111,0.625,387,0.318,0.158,0.401,0.088,489,491,500,0.891
03M403,Global Learning Collaborative,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-877-1103,0.354166667,0.645833333,496,0.054,0.25,0.663,0.024,406,407,413,0.594
03M415,Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,M088,215 West 114th Street,Manhattan,NY,10026,40.80217,-73.95401,212-749-5800,0.333333333,0.65625,445,0.01,0.52,0.442,0.018,381,401,392,0.526
03M860,Frederick Douglass Academy II Secondary School,Manhattan,M088,215 West 114th Street,Manhattan,NY,10026,40.80217,-73.95401,212-865-9260,0.333333333,0.625,411,0.019,0.678,0.263,0.022,390,384,373,0.638
05M362,Columbia Secondary School,Manhattan,M125,425 West 123rd Street,Manhattan,NY,10027,40.81092,-73.95693,212-666-1278,0.333333333,0.666666667,659,0.148,0.22,0.481,0.137,583,561,546,0.882
05M367,Academy for Social Action (College Board),Manhattan,M043,509 West 129th Street,Manhattan,NY,10027,40.81523,-73.9552,212-234-3102,0.357638889,0.65625,234,0.028,0.465,0.493,0.005,357,349,365,0.54
05M369,Urban Assembly School for the Performing Arts,Manhattan,M043,509 West 129th Street,Manhattan,NY,10027,40.81523,-73.9552,212-234-4631,0.34375,0.635416667,358,0.014,0.522,0.43,0.008,379,399,388,0.767
04M680,Heritage School,Manhattan,M107,1680 Lexington Avenue,Manhattan,NY,10029,40.79188,-73.94659,212-828-2858,0.354166667,0.652083333,322,0.019,0.323,0.637,0.012,385,380,370,0.568
04M555,Central Park East High School,Manhattan,M013,1573 Madison Avenue,Manhattan,NY,10029,40.79368,-73.94942,212-860-5929,0.354166667,0.638888889,466,0.039,0.245,0.633,0.073,483,468,439,0.979
04M495,Park East High School,Manhattan,M495,230 East 105th Street,Manhattan,NY,10029,40.79056,-73.94445,212-831-1517,0.364583333,0.635416667,413,0.017,0.276,0.637,0.048,429,433,435,0.896
04M610,Young Women's Leadership School,Manhattan,M895,105 East 106th Street,Manhattan,NY,10029,40.79271,-73.9473,212-289-7593,0.364583333,0.635416667,480,0.034,0.279,0.574,0.089,478,465,472,1
04M435,Manhattan Center for Science and Mathematics,Manhattan,M435,260 Pleasant Avenue,Manhattan,NY,10029,40.79374,-73.93408,212-876-4639,0.34375,0.611111111,1603,0.042,0.209,0.541,0.192,556,505,495,0.876
04M372,Esperanza Preparatory Academy,Manhattan,M117,240 East 109th Street,Manhattan,NY,10029,40.79307,-73.94236,212-722-6507,0.333333333,0.625,507,0.021,0.131,0.831,0.013,324,312,362,0.536
05M304,Mott Hall High School,Manhattan,M136,6 Edgecombe Avenue,Manhattan,NY,10030,40.81736,-73.94771,212-694-6020,0.333333333,0.645833333,428,0.007,0.383,0.591,0.009,416,445,440,0.369
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,M970,200-214 West 135th Street,Manhattan,NY,10030,40.81536,-73.9439,212-283-8055,0.354166667,0.625,561,0.008,0.776,0.196,0.013,402,394,400,0.847
05M692,"High School for Mathematics, Science, and Engineering at City College",Manhattan,M812,240 Convent Avenue,Manhattan,NY,10031,40.82112,-73.94885,212-281-6490,0.333333333,0.649305556,470,0.268,0.096,0.217,0.385,683,610,596,0.926
06M540,A. Philip Randolph Campus High School,Manhattan,M540,443 West 135th Street,Manhattan,NY,10031,40.81832,-73.95061,212-926-0113,0.333333333,0.597222222,1354,0.017,0.32,0.597,0.049,459,453,447,0.74
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,501 West 165th Street,Manhattan,NY,10032,40.83803,-73.93837,212-928-1202,0.333333333,0.645833333,504,0,0,1,0,383,355,352,0.71
06M346,Community Health Academy of the Heights,Manhattan,M814,504 West 158th Street,Manhattan,NY,10032,40.83356,-73.9418,212-342-6600,0.34375,0.625,629,0.027,0.049,0.918,0,387,389,385,0.553
06M348,Washington Heights Expeditionary Learning School,Manhattan,M143,511 West 182nd Street,Manhattan,NY,10033,40.84888,-73.93081,212-781-0524,0.333333333,0.625,705,0.005,0.038,0.948,0.003,443,423,434,0.87
04M409,Coalition School for Social Change,Manhattan,M045,2351 1st Avenue,Manhattan,NY,10035,40.79887,-73.93337,212-831-5153,0.364583333,0.645833333,283,0.035,0.41,0.502,0.042,344,368,367,0.405
02M531,Repertory Company High School for Theatre Arts,Manhattan,M896,123 West 43rd Street,Manhattan,NY,10036,40.75594,-73.98457,212-382-1875,0.34375,0.645833333,246,0.085,0.374,0.504,0.016,425,451,458,0.895
02M408,Professional Performing Arts High School,Manhattan,M017,328 West 48th Street,Manhattan,NY,10036,40.76143,-73.98802,212-247-8652,0.34375,0.645833333,536,0.429,0.262,0.223,0.025,496,520,516,0.722
02M529,Jacqueline Kennedy Onassis High School,Manhattan,M486,120 West 46th Street,Manhattan,NY,10036,40.75776,-73.98319,212-391-0041,0.333333333,0.625,676,0.036,0.213,0.701,0.04,418,422,415,0.538
02M280,Manhattan Early College School for Advertising,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,718-935-3477  ,0.354166667,0.65625,97,0.155,0.32,0.433,0.072,438,425,482,0.553
02M520,Murry Bergtraum High School for Business Careers,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,212-964-9610,0.333333333,0.625,971,0.03,0.461,0.407,0.089,418,415,398,0.443
02M282,Urban Assembly Maker Academy,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.70934,-74.0053,718-935-3442,0.375,0.65625,103,0.097,0.243,0.456,0.107,427,416,438,0.532
02M139,Stephen T. Mather Building Arts and Craftsmanship High School,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,212-225-0998,0.381944444,0.645833333,193,0.088,0.249,0.611,0.036,482,479,462,0.637
05M499,Frederick Douglass Academy,Manhattan,M010,2581 7th Avenue,Manhattan,NY,10039,40.82431,-73.93698,212-491-4107,0.333333333,0.625,1428,0.014,0.704,0.232,0.017,463,452,450,0.651
06M463,High School for Media and Communications,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,0.333333333,0.65625,479,0.013,0.138,0.825,0.019,378,381,383,0.33
06M462,College Academy,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,0.333333333,0.65625,491,0.006,0.09,0.892,0.002,367,377,363,0.419
06M467,High School for Law and Public Service,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-342-6130,0.333333333,0.65625,671,0.016,0.168,0.808,0.004,401,394,381,0.441
06M293,City College Academy of the Arts,Manhattan,M218,4600 Broadway,Manhattan,NY,10040,40.86111,-73.93045,212-567-3164,0.34375,0.666666667,587,0.012,0.038,0.941,0.009,495,445,450,0.953
06M468,High School for Health Careers and Sciences,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,0.333333333,0.65625,605,0.015,0.159,0.798,0.013,374,385,389,0.562
02M459,Manhattan International High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-517-6728,0.364583333,0.628472222,343,0.122,0.166,0.411,0.294,438,358,382,0.586
02M519,Talent Unlimited High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-737-1530,0.340277778,0.638888889,506,0.204,0.334,0.399,0.049,485,498,496,0.893
02M449,Vanguard High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-517-5175,0.333333333,0.625,486,0.047,0.274,0.57,0.076,431,409,396,0.638
02M655,Life Sciences Secondary School,Manhattan,M645,320 East 96th Street,Manhattan,NY,10128,40.78364,-73.94574,212-348-1694,0.333333333,0.625,697,0.032,0.283,0.622,0.043,435,440,425,0.63
02M475,Stuyvesant High School,Manhattan,M477,345 Chambers Street,Manhattan,NY,10282,40.71775,-74.01405,212-312-4800,0.333333333,0.645833333,3296,0.204,0.008,0.026,0.734,754,697,693,0.974
31R600,Ralph R. McKee Career and Technical Education High School,Staten Island,R600,290 St Marks Place,Staten Island,NY,10301,40.64274,-74.07871,718-420-2600,0.333333333,0.625,624,0.197,0.308,0.425,0.048,420,429,409,0.38
31R080,Michael J. Petrides School,Staten Island,R880,715 Ocean Terrace,Staten Island,NY,10301,40.60745,-74.10148,718-815-0186,0.333333333,0.597222222,1327,0.498,0.223,0.202,0.069,483,473,470,0.792
31R450,Curtis High School,Staten Island,R450,105 Hamilton Avenue,Staten Island,NY,10301,40.64474,-74.08134,718-390-1800,0.375,0.645833333,2499,0.177,0.384,0.36,0.071,453,458,444,0.642
31R445,Port Richmond High School,Staten Island,R445,85 St Josephs Avenue,Staten Island,NY,10302,40.63384,-74.14211,718-420-2100,0.333333333,0.614583333,1628,0.217,0.279,0.428,0.07,432,427,425,0.446
31R605,Staten Island Technical High School,Staten Island,R440,485 Clawson Street,Staten Island,NY,10306,40.56791,-74.11536,718-667-3222,0.322916667,0.604166667,1247,0.522,0.01,0.052,0.411,711,660,670,0.997
31R440,New Dorp High School,Staten Island,R435,465 New Dorp Lane,Staten Island,NY,10306,40.56918,-74.1073,718-667-8686,0.336805556,0.631944444,2791,0.518,0.121,0.278,0.075,454,446,444,0.637
31R455,Tottenville High School,Staten Island,R455,100 Luten Avenue,Staten Island,NY,10312,40.52823,-74.19215,718-668-8800,0.333333333,0.614583333,3982,0.799,0.018,0.118,0.051,494,476,476,0.789
31R460,Susan E. Wagner High School,Staten Island,R460,1200 Manor Road,Staten Island,NY,10314,40.59865,-74.1231,718-698-4200,0.344444444,0.625,3363,0.477,0.109,0.27,0.134,496,490,487,0.663
31R064,Gaynor McCown Expeditionary Learning School,Staten Island,R043,100 Essex Drive,Staten Island,NY,10314,40.58202,-74.15785,718-370-6950,0.333333333,0.597222222,479,0.616,0.138,0.19,0.033,442,458,454,0.558
31R047,CSI High School for International Studies,Staten Island,R043,100 Essex Drive,Staten Island,NY,10314,40.58202,-74.15785,718-370-6900,0.3125,0.659722222,520,0.556,0.088,0.198,0.112,477,468,464,0.835
07X522,Bronx Design and Construction Academy,Bronx,X600,333 East 151st Street,Bronx,NY,10451,40.81825,-73.91974,718-402-7690,0.333333333,0.645833333,563,0.034,0.24,0.705,0.014,401,428,413,0.008
07X547,New Explorers High School,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-4150,0.354166667,0.645833333,475,0.004,0.314,0.676,0.004,390,398,376,0.304
09X505,"Bronx School for Law, Government, and Justice",Bronx,X460,244 East 163rd Street,Bronx,NY,10451,40.82759,-73.91867,718-410-3430,0.34375,0.625,778,0.01,0.231,0.72,0.022,403,409,415,0.638
07X548,Urban Assembly School for Careers in Sports,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-7110,0.350694444,0.6375,587,0.014,0.286,0.695,0.002,402,405,395,0.555
07X527,Bronx Leadership Academy II High School,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-7171,0.354166667,0.635416667,495,0.008,0.323,0.634,0.022,384,355,361,0.613
07X551,Urban Assembly Bronx Academy of Letters,Bronx,X183,339 Morris Avenue,Bronx,NY,10451,40.81336,-73.92554,718-401-4891,0.333333333,0.659722222,591,0.015,0.304,0.669,0.009,398,400,405,0.578
07X670,Health Opportunities High School,Bronx,X884,350 Gerard Avenue,Bronx,NY,10451,40.81608,-73.93032,718-401-1826,0.34375,0.649305556,554,0.018,0.361,0.579,0.031,374,386,382,0.579
07X427,Community School for Social Justice,Bronx,X884,350 Gerard Avenue,Bronx,NY,10451,40.81608,-73.93032,718-402-8481,0.354166667,0.625,324,0.012,0.296,0.673,0.015,380,382,362,0.384
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,X600,333 East 151st Street,Bronx,NY,10451,40.81825,-73.91974,718-993-5000,0.368055556,0.625,375,0.008,0.291,0.683,0.011,390,373,371,0.298
09X327,Comprehensive Model School Project,Bronx,X240,1501 Jerome Avenue,Bronx,NY,10452,40.84241,-73.91616,718-294-8111,0.333333333,0.666666667,628,0.006,0.233,0.76,0,349,327,342,0.352
09X365,Academy for Language and Technology,Bronx,X082,1700 Macombs Road,Bronx,NY,10453,40.8491,-73.91609,718-731-0219,0.333333333,0.666666667,322,0,0.003,0.997,0,371,334,337,0.789
07X223,Laboratory School of Finance and Technology,Bronx,X149,360 East 145th Street,Bronx,NY,10454,40.81401,-73.92084,718-585-8202,0.326388889,0.625,502,0.009,0.206,0.785,0,430,428,412,0.835
07X221,South Bronx Preparatory (College Board),Bronx,X149,360 East 145th Street,Bronx,NY,10454,40.81401,-73.92084,718-292-2211,0.333333333,0.625,654,0.014,0.252,0.703,0.017,419,414,394,0.769
07X334,International Community High School,Bronx,X139,345 Brook Avenue,Bronx,NY,10454,40.81004,-73.91781,718-665-4128,0.375,0.666666667,463,0.013,0.14,0.767,0.065,345,338,312,0.582
07X495,University Heights Secondary School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-292-0578,0.364583333,0.625,486,0.016,0.3,0.646,0.031,420,446,424,0.878
07X473,Mott Haven Village Preparatory High School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-402-0571,0.354166667,0.625,364,0.005,0.253,0.736,0.003,377,373,369,0.449
09X543,High School for Violin and Dance,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-842-0687,0.333333333,0.625,384,0.003,0.341,0.646,0.005,363,401,396,0.313
09X403,Bronx International High School,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-620-1053,0.375,0.65625,409,0.017,0.2,0.741,0.034,355,330,320,0.591
12X479,Bronx Career and College Preparatory High School,Bronx,X158,800 Home Street,Bronx,NY,10456,40.82776,-73.90039,718-542-4011,0.333333333,0.59375,333,0.006,0.405,0.568,0.009,370,379,381,0.407
09X260,Bronx Center for Science and Mathematics,Bronx,X002,1363 Fulton Avenue,Bronx,NY,10456,40.83374,-73.90245,718-992-7089,0.3125,0.642361111,457,0.015,0.254,0.659,0.063,513,468,485,0.739
09X324,Bronx Early College Academy for Teaching and Learning,Bronx,X166,250 East 164th Street,Bronx,NY,10456,40.82871,-73.91776,718-681-8287,0.354166667,0.635416667,503,0.004,0.287,0.674,0.036,424,413,409,0.933
